repo,date,week_num,commits,q
keras,2025-01-19,3,14,Q1
keras,2025-01-26,4,11,Q1
keras,2025-02-02,5,16,Q1
keras,2025-02-09,6,10,Q1
keras,2025-02-16,7,10,Q1
keras,2025-02-23,8,16,Q1
keras,2025-03-02,9,16,Q1
keras,2025-03-09,10,17,Q1
keras,2025-03-16,11,17,Q1
keras,2025-03-23,12,11,Q1
keras,2025-03-30,13,2,Q1
keras,2025-04-06,14,13,Q2
keras,2025-04-13,15,12,Q2
keras,2025-04-20,16,16,Q2
keras,2025-04-27,17,14,Q2
keras,2025-05-04,18,13,Q2
keras,2025-05-11,19,5,Q2
keras,2025-05-18,20,19,Q2
keras,2025-05-25,21,11,Q2
keras,2025-06-01,22,13,Q2
keras,2025-06-08,23,11,Q2
keras,2025-06-15,24,10,Q2
keras,2025-06-22,25,5,Q2
keras,2025-06-29,26,9,Q2
keras,2025-07-06,27,11,Q3
keras,2025-07-13,28,10,Q3
keras,2025-07-20,29,20,Q3
keras,2025-07-27,30,12,Q3
keras,2025-08-03,31,16,Q3
keras,2025-08-10,32,9,Q3
keras,2025-08-17,33,16,Q3
keras,2025-08-24,34,9,Q3
keras,2025-08-31,35,6,Q3
keras,2025-09-07,36,11,Q3
keras,2025-09-14,37,10,Q3
keras,2025-09-21,38,9,Q3
keras,2025-09-28,39,15,Q3
keras,2025-10-05,40,8,Q4
keras,2025-10-12,41,17,Q4
keras,2025-10-19,42,17,Q4
keras,2025-10-26,43,19,Q4
keras,2025-11-02,44,14,Q4
keras,2025-11-09,45,8,Q4
keras,2025-11-16,46,3,Q4
keras,2025-11-23,47,9,Q4
keras,2025-11-30,48,17,Q4
keras,2025-12-07,49,13,Q4
keras,2025-12-14,50,21,Q4
keras,2025-12-21,51,8,Q4
keras,2025-12-28,52,8,Q4
keras,2026-01-04,1,14,Q1
keras,2026-01-11,2,10,Q1
pytorch,2025-01-19,3,263,Q1
pytorch,2025-01-26,4,333,Q1
pytorch,2025-02-02,5,270,Q1
pytorch,2025-02-09,6,256,Q1
pytorch,2025-02-16,7,205,Q1
pytorch,2025-02-23,8,304,Q1
pytorch,2025-03-02,9,296,Q1
pytorch,2025-03-09,10,249,Q1
pytorch,2025-03-16,11,266,Q1
pytorch,2025-03-23,12,218,Q1
pytorch,2025-03-30,13,232,Q1
pytorch,2025-04-06,14,259,Q2
pytorch,2025-04-13,15,263,Q2
pytorch,2025-04-20,16,272,Q2
pytorch,2025-04-27,17,321,Q2
pytorch,2025-05-04,18,286,Q2
pytorch,2025-05-11,19,272,Q2
pytorch,2025-05-18,20,271,Q2
pytorch,2025-05-25,21,286,Q2
pytorch,2025-06-01,22,286,Q2
pytorch,2025-06-08,23,411,Q2
pytorch,2025-06-15,24,326,Q2
pytorch,2025-06-22,25,352,Q2
pytorch,2025-06-29,26,245,Q2
pytorch,2025-07-06,27,301,Q3
pytorch,2025-07-13,28,308,Q3
pytorch,2025-07-20,29,320,Q3
pytorch,2025-07-27,30,274,Q3
pytorch,2025-08-03,31,266,Q3
pytorch,2025-08-10,32,330,Q3
pytorch,2025-08-17,33,269,Q3
pytorch,2025-08-24,34,329,Q3
pytorch,2025-08-31,35,303,Q3
pytorch,2025-09-07,36,345,Q3
pytorch,2025-09-14,37,284,Q3
pytorch,2025-09-21,38,346,Q3
pytorch,2025-09-28,39,350,Q3
pytorch,2025-10-05,40,342,Q4
pytorch,2025-10-12,41,362,Q4
pytorch,2025-10-19,42,245,Q4
pytorch,2025-10-26,43,398,Q4
pytorch,2025-11-02,44,383,Q4
pytorch,2025-11-09,45,300,Q4
pytorch,2025-11-16,46,308,Q4
pytorch,2025-11-23,47,79,Q4
pytorch,2025-11-30,48,364,Q4
pytorch,2025-12-07,49,419,Q4
pytorch,2025-12-14,50,364,Q4
pytorch,2025-12-21,51,155,Q4
pytorch,2025-12-28,52,112,Q4
pytorch,2026-01-04,1,317,Q1
pytorch,2026-01-11,2,177,Q1
tensorflow,2025-01-19,3,291,Q1
tensorflow,2025-01-26,4,374,Q1
tensorflow,2025-02-02,5,297,Q1
tensorflow,2025-02-09,6,275,Q1
tensorflow,2025-02-16,7,283,Q1
tensorflow,2025-02-23,8,340,Q1
tensorflow,2025-03-02,9,328,Q1
tensorflow,2025-03-09,10,291,Q1
tensorflow,2025-03-16,11,336,Q1
tensorflow,2025-03-23,12,272,Q1
tensorflow,2025-03-30,13,260,Q1
tensorflow,2025-04-06,14,358,Q2
tensorflow,2025-04-13,15,393,Q2
tensorflow,2025-04-20,16,319,Q2
tensorflow,2025-04-27,17,280,Q2
tensorflow,2025-05-04,18,276,Q2
tensorflow,2025-05-11,19,301,Q2
tensorflow,2025-05-18,20,302,Q2
tensorflow,2025-05-25,21,306,Q2
tensorflow,2025-06-01,22,277,Q2
tensorflow,2025-06-08,23,232,Q2
tensorflow,2025-06-15,24,218,Q2
tensorflow,2025-06-22,25,268,Q2
tensorflow,2025-06-29,26,163,Q2
tensorflow,2025-07-06,27,252,Q3
tensorflow,2025-07-13,28,233,Q3
tensorflow,2025-07-20,29,224,Q3
tensorflow,2025-07-27,30,363,Q3
tensorflow,2025-08-03,31,299,Q3
tensorflow,2025-08-10,32,277,Q3
tensorflow,2025-08-17,33,231,Q3
tensorflow,2025-08-24,34,207,Q3
tensorflow,2025-08-31,35,205,Q3
tensorflow,2025-09-07,36,255,Q3
tensorflow,2025-09-14,37,212,Q3
tensorflow,2025-09-21,38,358,Q3
tensorflow,2025-09-28,39,276,Q3
tensorflow,2025-10-05,40,285,Q4
tensorflow,2025-10-12,41,284,Q4
tensorflow,2025-10-19,42,207,Q4
tensorflow,2025-10-26,43,282,Q4
tensorflow,2025-11-02,44,316,Q4
tensorflow,2025-11-09,45,262,Q4
tensorflow,2025-11-16,46,238,Q4
tensorflow,2025-11-23,47,240,Q4
tensorflow,2025-11-30,48,320,Q4
tensorflow,2025-12-07,49,256,Q4
tensorflow,2025-12-14,50,379,Q4
tensorflow,2025-12-21,51,133,Q4
tensorflow,2025-12-28,52,91,Q4
tensorflow,2026-01-04,1,379,Q1
tensorflow,2026-01-11,2,208,Q1